method,config,T0,T1,branch,arm,severity,n_pairs,delta_coverage_siv_minus_tsls,mcse_delta_coverage,bias_tsls,bias_siv,delta_signed_bias_siv_minus_tsls,mcse_delta_signed_bias,delta_abs_bias_siv_minus_tsls,mcse_delta_abs_bias,rmse_tsls,rmse_siv,delta_rmse_siv_minus_tsls,mcse_delta_rmse
AR,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.0,1000,0.014,0.011042007332270972,,,,,,,,,,
AR,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.6,1000,0.054,0.012854930931329393,,,,,,,,,,
AR,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,1.4,1000,0.192,0.016894419830861946,,,,,,,,,,
AR,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,2.0,1000,0.278,0.01819469832250722,,,,,,,,,,
AR,finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.0,1000,0.014,0.011042007332270972,,,,,,,,,,
AR,finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.6,1000,0.062,0.012896601192652362,,,,,,,,,,
AR,finite_length,5,10,Aggregate Shock,B_SIV_targeted,1.4,1000,0.211,0.01669604018196404,,,,,,,,,,
AR,finite_length,5,10,Aggregate Shock,B_SIV_targeted,2.0,1000,0.291,0.01785042401842706,,,,,,,,,,
AR,finite_length,5,10,Aggregate Shock,C_random_geometry,0.0,1000,0.014,0.011042007332270972,,,,,,,,,,
AR,finite_length,5,10,Aggregate Shock,C_random_geometry,0.6,1000,0.054,0.012854930931329393,,,,,,,,,,
AR,finite_length,5,10,Aggregate Shock,C_random_geometry,1.4,1000,0.191,0.016935341915822244,,,,,,,,,,
AR,finite_length,5,10,Aggregate Shock,C_random_geometry,2.0,1000,0.277,0.01823742316237696,,,,,,,,,,
AR,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,0.0,1000,0.004,0.014006433528210533,,,,,,,,,,
AR,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,0.6,1000,0.072,0.015845095994252198,,,,,,,,,,
AR,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,1.4,1000,0.217,0.018227540789784103,,,,,,,,,,
AR,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,2.0,1000,0.299,0.019077813369539048,,,,,,,,,,
AR,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,0.0,1000,0.004,0.014006433528210533,,,,,,,,,,
AR,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,0.6,1000,-0.002,0.01536984815254309,,,,,,,,,,
AR,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,1.4,1000,0.043,0.018801715467065883,,,,,,,,,,
AR,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,2.0,1000,0.078,0.019857248306608608,,,,,,,,,,
AR,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,0.0,1000,0.004,0.014006433528210533,,,,,,,,,,
AR,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,0.6,1000,0.064,0.015942338541072267,,,,,,,,,,
AR,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,1.4,1000,0.206,0.018598653443459554,,,,,,,,,,
AR,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,2.0,1000,0.287,0.019157191808769833,,,,,,,,,,
AR,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,0.0,1000,0.016,0.010576192880987744,,,,,,,,,,
AR,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,0.6,1000,0.062,0.01225994723913224,,,,,,,,,,
AR,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,1.4,1000,0.259,0.016067892742272622,,,,,,,,,,
AR,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,2.0,1000,0.461,0.017168977074181614,,,,,,,,,,
AR,longer_length,30,60,Aggregate Shock,B_SIV_targeted,0.0,1000,0.016,0.010576192880987744,,,,,,,,,,
