config,branch,estimator,n,coverage,mean_bias,rmse,trim1_rmse,trim5_rmse,winsor99_rmse,winsor95_rmse,median_bias,median_abs_bias,p90_abs_bias,p95_abs_bias,p99_abs_bias,max_abs_bias,mean_se,median_se,p95_se,p99_se,max_se,mean_pi,median_pi,p01_pi,p05_pi,p95_pi,p99_pi,min_pi,share_pi_le_zero,share_abs_pi_lt_0_05,share_abs_pi_lt_0_10,share_abs_pi_lt_0_20,share_abs_pi_lt_0_30
finite_length,Aggregate Shock,SIV,1000,0.744,0.012428291187400579,0.06622186138298795,0.054323440135272544,0.04346190131974531,0.05949558585104959,0.05052030866678264,0.00927934317623065,0.02752861861616445,0.09186639048864703,0.12311064655634607,0.2486360692076629,0.6262700622424724,0.03331847883225649,0.021061311398413947,0.08510366071897792,0.22001318051689953,0.9462833694469308,0.833288899420382,0.8784112150192813,0.22326213978411286,0.457662465577095,1.046410426660125,1.147631758141018,0.0390344713596068,0.0,0.001,0.004,0.01,0.023
finite_length,Aggregate Shock,TSLS,1000,0.51,0.3565993450724941,2.703191765947988,0.6897675062210841,0.6293593558311188,0.7254160602191185,0.6671098231121464,0.5653687903682371,0.5962282868498542,1.0188247186428554,1.172578161652063,2.3496178393891847,76.88896853440644,2.41313444685991,0.239182691033132,1.3055787556256144,5.856418357906133,1560.4806614294018,0.7689282465390372,0.8055959151269143,-0.07584292593033479,0.19301430326967006,1.2576392808669201,1.3976752403578023,-0.2510681561270057,0.02,0.009,0.021,0.047,0.08
finite_length,Basic,SIV,1000,0.88,0.0010161214696911478,0.02603208432141821,0.022120940228552752,0.019386926851437145,0.023134721997830326,0.02162393546817035,0.00130322419027145,0.014564665632005251,0.03716399584092661,0.04701793254190786,0.07125498248378342,0.3635179580226817,0.019800002319949085,0.0155063083438594,0.04640619761708502,0.07460192661824773,0.1617218179334874,0.8757670996965202,0.9092636064964155,0.3338581500389431,0.6091730577194239,1.0096952294325625,1.045832049380246,0.0463275472311747,0.0,0.001,0.001,0.002,0.005
finite_length,Basic,TSLS,1000,0.871,0.001116212513010889,0.023618629710466372,0.020860099703277638,0.01820550394696362,0.02185930808930135,0.020371346795407454,0.00082517680200695,0.0132549308896098,0.03509040013545429,0.04474894747231381,0.06858354621089409,0.2540311480759416,0.01825597560083322,0.01453028654238625,0.04310343713337519,0.06898567901903795,0.1656945176617266,0.8757828246421302,0.9117100784391685,0.343885200491354,0.616135101909352,1.0082931229569891,1.0460810918806323,0.067184638990547,0.0,0.0,0.001,0.002,0.007
finite_length,GFE,SIV,1000,0.865,-1.3798899967069872e-05,0.09046302931984143,0.06580085049298601,0.050339381780967044,0.07304231988777393,0.060319328321478544,-0.0008836603268050499,0.029705597621827548,0.11086664332969229,0.1569121205623622,0.32384040641087414,1.482374220395047,0.05415414005047017,0.0352745709612733,0.1471643192968014,0.40061565354282874,0.8009403872963926,0.8703831544892492,0.9037619301266842,0.31151308109294096,0.6051344155921506,1.0187283996211183,1.0615183299787971,0.0431992149740419,0.0,0.001,0.001,0.002,0.008
finite_length,GFE,TSLS,1000,0.809,0.01979594626206733,0.5664456330069618,0.4468649219255058,0.3819794643131129,0.47031196784136037,0.42794494384620585,0.00046336350133314996,0.28322888789806067,0.7322741846731954,0.9436522597275563,1.5330352648194132,8.527424957571991,0.3675847527500469,0.2814203108316041,0.9255485476158277,1.653142310271756,2.8675126005535003,0.8706138530661254,0.9040986663276462,0.32439166545066545,0.6100527472832107,1.0232582532792103,1.06874229426162,0.0643958508302869,0.0,0.0,0.001,0.002,0.009
finite_length,GFE + Agg. Shock,SIV,1000,0.781,0.060506590531514685,0.24664420799222445,0.2123899487890673,0.1551101181376831,0.23415007111516803,0.19208487518529488,0.0254904305731651,0.07711296316493704,0.3403389104761754,0.5299133507225234,1.0083580891767487,1.911583774507983,0.12419184415098801,0.07038504450817595,0.4084136775499973,0.8747570139089037,1.6462318405050913,0.829398204747115,0.8750539357347934,0.20286901738967575,0.44732082064203665,1.0535928906449405,1.147755072935131,0.0763248565458646,0.0,0.0,0.004,0.01,0.029
finite_length,GFE + Agg. Shock,TSLS,1000,0.607,0.8799979008763771,9.585562683232657,0.8382254885967946,0.7158400036711755,0.9130750912302938,0.7814806771468691,0.5762228458505082,0.6371609925939508,1.228643260325669,1.5742076320535217,3.716320387011968,245.6999203708185,129.5774571760798,0.3329539030669033,1.8859372319771581,5.898344598827477,124036.7415042067,0.7656822249385346,0.7986525700906267,-0.08009017065902178,0.19332304756423213,1.2604520808634778,1.4141477752386438,-0.2804503632812005,0.017,0.01,0.019,0.048,0.082
longer_length,Aggregate Shock,SIV,1000,0.826,0.002326013637549722,0.024152652158303263,0.02230464622761875,0.01920488196475911,0.023335207726082042,0.021760731941599727,0.0023740725945873,0.01400350115365785,0.03828618199316673,0.04962727836943011,0.07211771537809827,0.1462772329600326,0.015658760598931506,0.014269122770620549,0.02800772709872877,0.03607988775284784,0.0511911299327534,0.9873880393504099,0.9880036224238316,0.8877528751189201,0.9184945902572942,1.0511998372973759,1.0788304990774389,0.8462315039646066,0.0,0.0,0.0,0.0,0.0
longer_length,Aggregate Shock,TSLS,1000,0.174,0.4318538144798718,0.45569824159367506,0.44917446111692194,0.4358216682246829,0.45375976985571853,0.4475579291204347,0.44003085914749035,0.44003085914749035,0.5982069697813122,0.6303110303514252,0.7847170945655628,1.1637030374255022,0.12327778370341247,0.11349098923261565,0.23286252952753264,0.2811037134958263,0.5952030165053291,0.9931437204496049,0.994884367003155,0.5702389381278458,0.6827557964806327,1.292723309503984,1.4028919685377044,0.4869813431062433,0.0,0.0,0.0,0.0,0.0
